position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
137,1665,2007,Kazakhstan,"Copper: metal, refined",Oskemen,"Smelter at Ust-Kamenogorsk",Plant,"49° 59'  N","082° 37'  E",49.99,82.61,F,,"Kazzinc JSC","Glencore International, 99%",,Active,8,"thousand metric tons per year",,848
380,1908,2007,Russia,"Copper: smelters",Pechenganikel,,Plant,"69° 33'  N","031° 13'  E",69.55,31.22,F,,Pechenganikel,Pechenganikel,,Active,40,"thousand metric tons per year",,848
341,1869,2007,Russia,"Copper: concentrate, Cu content","Kola Peninsula (Pechenganickel)",,Mine,"68° 52'  N","033° 01'  E",68.87,33.02,F,,"Norilsk Nickel","Norilsk Nickel",,Active,500,"thousand metric tons per year",,848
342,1870,2007,Russia,"Copper: concentrate, Cu content","Taimyr Peninsula (Norilsk/ Talnakh Mills)",,Mine,"69° 20'  N","088° 14'  E",69.33,88.23,F,,"Norilsk Nickel","Norilsk Nickel",,Active,430,"thousand metric tons per year",,848
343,1871,2007,Russia,"Copper: concentrate, Cu content","Gaisky Gok",,Mine,"51° 29'  N","058° 28'  E",51.48,58.47,F,,Uralelectromed,"Urals Mining & Metallurgical Co.",,Active,80,"thousand metric tons per year",,848
344,1872,2007,Russia,"Copper: concentrate, Cu content",Uchalinsk,,Mine,"54° 15'  N","059° 16'  E",54.25,59.27,A,,"UGMK, 38%; Bashkortostan State, 38%","UGMK, 38%; Bashkortostan State, 38%",,Active,55,"thousand metric tons per year",,848
345,1873,2007,Russia,"Copper: concentrate, Cu content","Tarnyerskoye/ Shemurskoye/ Severnoye",,Mine,"57° 00'  N","064° 40'  E",57,64.67,A,S,Uralelectromed,"Urals Mining & Metallurgical Co., 40%",,Active,50,"thousand metric tons per year",,848
346,1874,2007,Russia,"Copper: concentrate, Cu content",Safyanovskaya,,Mine,"57° 22'  N","061° 24'  E",57.37,61.4,A,,Uralelectromed,"Urals Mining & Metallurgical Co., 40%",,Active,35,"thousand metric tons per year",,848
347,1875,2007,Russia,"Copper: concentrate, Cu content","Dombarovsky (Letneye/ Osenneye)",,Mine,"51° 47'  N","055° 05'  E",51.78,55.08,A,,Uralelectromed,"Urals Mining & Metallurgical Co., 40%",,Active,20,"thousand metric tons per year",,848
348,1876,2007,Russia,"Copper: concentrate, Cu content","Aleksandrinsky mine",,Mine,"61° 07'  N","041° 59'  E",61.12,41.98,A,,"Aleksandrinskaya Mining Co.","Aleksandrinskaya Mining Co.",,Active,15,"thousand metric tons per year",,848
349,1877,2007,Russia,"Copper: concentrate, Cu content","Murmansk SX-electrowinning",,Mine,"68° 58'  N","033° 04'  E",68.96,33.06,A,,"Kola Mining and Metals Co.",Norilsk,,Active,15,"thousand metric tons per year",,848
350,1878,2007,Russia,"Copper: concentrate, Cu content",Solnechny,,Mine,"50° 35'  N","137° 02'  E",50.59,137.03,A,,"Solnechny Mining Combine","Solnechny Mining Combine",,Active,11,"thousand metric tons per year",,848
351,1879,2007,Russia,"Copper: concentrate, Cu content","Miheevskoye (Chelyabinsk Project)",,Mine,"55° 08'  N","061° 25'  E",55.13,61.42,A,,"Russian Copper Company","Russian Copper Company",,Active,10,"thousand metric tons per year",Estimated.,848
352,1880,2007,Russia,"Copper: concentrate, Cu content",Urupsky/Bykovsky,,Mine,"43° 30'  N","041° 30'  E",43.5,41.5,A,,"Urupsky Mining (UGMK)","Urupsky Mining (UGMK)",,Active,8,"thousand metric tons per year",,848
353,1881,2007,Russia,"Copper: concentrate, Cu content",Volkovskoye,,Mine,"56° 22'  N","061° 59'  E",56.36,61.98,A,,"Svyatogor Mining","Svyatogor Mining",,Active,8,"thousand metric tons per year",,848
354,1882,2007,Russia,"Copper: concentrate, Cu content",Gumeshevskoye,,Mine,"56° 26'  N","060° 19'  E",56.44,60.31,A,,Uralgidromed,"Russian Copper Company",,Active,5,"thousand metric tons per year",,848
355,1883,2007,Russia,"Copper: concentrate, Cu content",Kirovgrad,,Mine,"57° 26'  N","060° 07'  E",57.43,60.11,F,,"Kirovgrad Copper","Kirovgrad Copper",,Active,4,"thousand metric tons per year",,848
356,1884,2007,Russia,"Copper: concentrate, Cu content",Turinsk,,Mine,"58° 02'  N","063° 44'  E",58.03,63.73,A,,"Svyatogor Mining","Svyatogor Mining",,Active,4,"thousand metric tons per year",,848
357,1885,2007,Russia,"Copper: concentrate, Cu content",Chebachye,,Mine,"55° 09'  N","061° 26'  E",55.15,61.43,A,,Verkneuralskaya,"Russian Copper Co., 95%",,Active,4,"thousand metric tons per year",Estimated.,848
358,1886,2007,Russia,"Copper: concentrate, Cu content",Vostokolovo,,Mine,"48° 28'  N","135° 17'  E",48.47,135.28,A,,Novosibirsk,Novosibirsk,,Active,2,"thousand metric tons per year",,848
359,1887,2007,Russia,"Copper: concentrate, Cu content",Sorsky,,Mine,"54° 00'  N","090° 15'  E",54,90.25,F,,"Sorsky Mining","Sorsky Mining",,Active,1,"thousand metric tons per year",,848
360,1888,2007,Russia,"Copper: concentrate, Cu content","Sredneuralsk (Degtyarka)",,Mine,"57° 00'  N","060° 28'  E",57,60.47,F,,"Sredneuralsk Copper","Sredneuralsk Copper",,Active,1,"thousand metric tons per year",,848
361,1889,2007,Russia,"Copper: electrowinning plants","Murmansk SX-electrowinning",,Plant,"68° 58'  N","033° 04'  E",68.96,33.06,F,,"Kola Mining and Metals Co. (Noril'sk)","Kola Mining and Metals Co. (Noril'sk)",,Active,15,"thousand metric tons per year",,848
362,1890,2007,Russia,"Copper: electrowinning plants",Gumeshevskoye,,Plant,"56° 26'  N","060° 19'  E",56.44,60.31,A,,"Uralgidromed (Russian Copper Company)","Uralgidromed (Russian Copper Company)",,Active,5,"thousand metric tons per year",,848
363,1891,2007,Russia,"Copper: refineries","Pyshma Refinery",,Plant,"56° 56'  N","063° 13'  E",56.93,63.21,A,,"Uralelectromed (Urals Mining & Metallurgical)","Uralelectromed (Urals Mining & Metallurgical)",,Active,380,"thousand metric tons per year",,848
364,1892,2007,Russia,"Copper: refineries","Norilisk Refinery",,Plant,"69° 22'  N","088° 08'  E",69.37,88.14,F,,Noril'sk,Noril'sk,,Active,330,"thousand metric tons per year",,848
365,1893,2007,Russia,"Copper: refineries",Kyshtym,,Plant,"55° 43'  N","060° 35'  E",55.72,60.59,A,,"Russian Copper Company",,,Active,120,"thousand metric tons per year",,848
366,1894,2007,Russia,"Copper: refineries",Monchegorsk,,Plant,"58° 36'  N","031° 15'  E",58.6,31.25,F,,Severonikel,Severonikel,,Active,100,"thousand metric tons per year",,848
367,1895,2007,Russia,"Copper: refineries",Novgorod,,Plant,"67° 56'  N","032° 51'  E",67.93,32.85,A,,"Russian Copper Company","Russian Copper Company",,Active,53,"thousand metric tons per year",,848
368,1896,2007,Russia,"Copper: refineries","Yuzhuralnikel (Orsk)",,Plant,"51° 11'  N","058° 38'  E",51.19,58.64,F,,Yuzhuralnikel,Yuzhuralnikel,,Active,18,"thousand metric tons per year",,848
369,1897,2007,Russia,"Copper: refineries","Murmansk SX'-electrowinning",,Plant,"68° 58'  N","033° 04'  E",68.96,33.06,F,,"Kola Mining and Metals Co.",Noril'sk,,Active,15,"thousand metric tons per year",,848
370,1898,2007,Russia,"Copper: refineries",Gumeshevskoye,,Plant,"56° 26'  N","060° 19'  E",56.44,60.31,A,,"Uralgidromed (Russian Copper Company)","Uralgidromed (Russian Copper Company)",,Active,5,"thousand metric tons per year",,848
371,1899,2007,Russia,"Copper: smelters","Norilsk (Nikelevy, Mendny)",,Plant,"69° 22'  N","088° 08'  E",69.37,88.14,F,,"Noril'sk G'-M","Noril'sk G'-M",,Active,400,"thousand metric tons per year",,848
372,1900,2007,Russia,"Copper: smelters","Sredneuralsk (SUMZ)",,Plant,"57° 00'  N","060° 28'  E",57,60.47,F,,"Uralelectromed (Urals Mining & Metallurgical)","Uralelectromed (Urals Mining & Metallurgical)",,Active,110,"thousand metric tons per year",,848
373,1901,2007,Russia,"Copper: smelters",Nadezhda,,Plant,"69° 19'  N","087° 56'  E",69.32,87.94,F,,"Noril'sk G'-M","Noril'sk G'-M",,Active,100,"thousand metric tons per year",,848
374,1902,2007,Russia,"Copper: smelters","Karabash (Urals)",,Plant,"55° 28'  N","060° 14'  E",55.47,60.23,F,,"Kyshtym (refining), 80%","Kyshtym (refining), 80%",,Active,90,"thousand metric tons per year",,848
375,1903,2007,Russia,"Copper: smelters","Krasnouralsk (Svyatogor)",,Plant,"58° 21'  N","060° 07'  E",58.35,60.11,F,,Uralelectromed,"Urals Mining & Metallurgical Co.",,Active,70,"thousand metric tons per year",,848
376,1904,2007,Russia,"Copper: smelters","Severonikel (Kola Peninsula)",,Plant,"67° 55'  N","032° 51'  E",67.91,32.85,F,,Severonikel,"Noril'sk G'-M",,Active,60,"thousand metric tons per year",,848
377,1905,2007,Russia,"Copper: smelters","Kirovgrad (Kalata)",,Plant,"57° 26'  N","060° 07'  E",57.43,60.11,F,,"Kirovgradsky JSC","Kirovgradsky JSC",,Active,50,"thousand metric tons per year",,848
378,1906,2007,Russia,"Copper: smelters","Mednogorsk (Urals)",,Plant,"51° 26'  N","057° 35'  E",51.44,57.59,F,,Uralelectromed,"Urals Mining & Metallurgical Co.",,Active,40,"thousand metric tons per year",,848
379,1907,2007,Russia,"Copper: smelters",Novgorod,,Plant,"58° 36'  N","031° 15'  E",58.6,31.25,F,,"Russian Copper Company","Russian Copper Company",,Active,40,"thousand metric tons per year",,848
645,2173,2007,Tajikistan,"Bismuth, copper, fluorspar, gold, silver, zinc (ore processing)",,"Adrasman mining-beneficiation complex: Kanimansurskoye deposit",Mine,"40° 38'  N","069° 59'  E",40.64,69.99,F,,,,,Active,650,"thousand metric tons per year",,848
650,2178,2007,Tajikistan,Copper-lead-zinc,,"Leninabad mining-beneficiation complex: Yuzhno-Yangikanskiy deposit",Mine,"40° 17'  N","069° 43'  E",40.28,69.71,A,,,,,Active,3,"thousand metric tons per year",,848
814,2342,2007,Uzbekistan,"Copper: concentrate, Cu content","Almalyk (Kalmakyr, Sary- Cheku)",,Mine,"40° 53'  N","069° 32'  E",40.88,69.54,F,,"Almalyk Mining and Metallurgical Combine","Almalyk Mining and Metallurgical Combine",,Active,100,"thousand metric tons per year",,848
815,2343,2007,Uzbekistan,"Copper: metal",Olmaliq,"Almalyk refinery",Plant,"40° 53'  N","069° 32'  E",40.88,69.54,F,,,,,Active,130,"thousand metric tons per year",,848
17,2410,2007,Albania,"Copper: ore","Fushe-Arrez, 80 kilometers north of Tirana","Mine at Fushe-Arrez",Mine,"42° 05'  N","020° 02'  E",42.08,20.04,F,,,,,Active,350,"thousand metric tons per year",,849
18,2411,2007,Albania,"Copper: ore","Reps (including Gurch, Lajo, Spac, and Thurr), 55 kilometers north of Tirana","Mine at Reps (including Gurch, Lajo, Spac, and Thurr)",Mine,"41° 52'  N","020° 02'  E",41.87,20.03,F,,,,,Active,350,"thousand metric tons per year",,849
19,2412,2007,Albania,"Copper: ore","Gjejan, 100 kilometers northeast of Tirana","Mine at Gjejan",Mine,"42° 05'  N","020° 29'  E",42.09,20.48,F,,,,,Active,150,"thousand metric tons per year",,849
20,2413,2007,Albania,"Copper: ore","Golaj (including Nikoliq and Pus), 120 kilometers northeast of Tirana","Mine at Golaj (including Nikoliq and Pus)",Mine,"42° 14'  N","020° 23'  E",42.23,20.39,F,,,,,Active,150,"thousand metric tons per year",,849
21,2414,2007,Albania,"Copper: ore","Kurbnesh-Perlat, 55 kilometers northeast of Tirana","Mine at Kurbnesh-Perlat",Mine,"41° 47'  N","020° 05'  E",41.78,20.08,F,,,,,Active,100,"thousand metric tons per year",,849
22,2415,2007,Albania,"Copper: ore","Rehove, 110 kilometers southeast of Tirana","Mine at Rehove",Mine,"40° 20'  N","020° 34'  E",40.33,20.57,A,,,,,Active,100,"thousand metric tons per year",,849
23,2416,2007,Albania,"Copper: ore","Shkoder (including Palaj, Karma I and II), 85 kilometers northwest of Tirana","Mine at Shkoder (including Palaj, Karma I and II)",Mine,"42° 05'  N","019° 32'  E",42.08,19.53,A,,,,,Active,100,"thousand metric tons per year",,849
24,2417,2007,Albania,"Copper: ore","Rreshen, 50 kilometers north of Tirana","Mine at Rreshen",Mine,"41° 46'  N","019° 52'  E",41.77,19.86,F,,,,,Active,50,"thousand metric tons per year",,849
25,2418,2007,Albania,"Copper: smelter","Lac, 35 kilometers northwest of Tirana","Smelter at Lac",Plant,"41° 39'  N","019° 43'  E",41.65,19.71,F,,,,,Active,7,"thousand metric tons per year",,849
26,2419,2007,Albania,"Copper: smelter","Kukes, 110 kilometers northeast of Tirana","Smelter at Kukes",Plant,"42° 04'  N","020° 28'  E",42.06,20.46,A,,,,,Active,6,"thousand metric tons per year",,849
27,2420,2007,Albania,"Copper: smelter","Rubik, 50 kilometers north of Tirana","Smelter at Rubik",Plant,"41° 46'  N","019° 47'  E",41.76,19.78,F,,,,,Active,4,"thousand metric tons per year",,849
56,2449,2007,Austria,"Copper: secondary",Brixlegg,"Smelter at Brixlegg",Plant,"47° 26'  N","011° 52'  E",47.43,11.87,F,,"Montanwerke Brixlegg AG","A-Tec Industries, 91.6%",,Active,0,"thousand metric tons per year",,849
100,2493,2007,Belgium,Copper,Olen,"Refinery at Olen",Plant,"51° 11'  N","004° 53'  E",51.18,4.89,F,,"NV Umicore SA","Sté. Générale de Belgique, 50.2%",,Active,330,"thousand metric tons per year",,849
101,2494,2007,Belgium,Copper,Beerse,"Smelter at Beerse",Plant,"51° 19'  N","004° 49'  E",51.32,4.82,F,,"Metallo-Chimique NV",,,Active,80,"thousand metric tons per year",,849
102,2495,2007,Belgium,Copper,Antwerp-Hoboken,"Smelter at Antwerp-Hoboken",Plant,"51° 10'  N","004° 22'  E",51.17,4.36,A,,"NV Umicore SA","Sté. Générale de Belgique, 50.2%",,Active,50,"thousand metric tons per year",,849
182,2575,2007,Bulgaria,"Copper: concentrate, Cu content","Panagurishte, Pazardzhik District","Mine at Panagurishte",Mine,"42° 33'  N","024° 08'  E",42.55,24.14,F,,"Asarel-Medet AD.",,,Active,55,"thousand metric tons per year","Combined capacities for positions 182183.",849
183,2576,2007,Bulgaria,"Copper: concentrate, Cu content","Panagurishte, Pazardzhik District","Plant at Panagurishte",Plant,"42° 33'  N","024° 08'  E",42.55,24.13,F,,"Asarel-Medet AD.",,,Active,55,"thousand metric tons per year","Combined capacities for positions 182183.",849
184,2577,2007,Bulgaria,"Copper: concentrate, Cu content","Srednogorie, Sofia District","Mine at Srednogorie",Mine,"42° 42'  N","024° 01'  E",42.7,24.02,F,,"Elatzite-Med Ltd.",,,Active,20,"thousand metric tons per year","Combined capacities for positions 184185.",849
185,2578,2007,Bulgaria,"Copper: concentrate, Cu content","Srednogorie, Sofia District","Plant at Srednogorie",Plant,"42° 42'  N","024° 01'  E",42.7,24.02,F,,"Elatzite-Med Ltd.",,,Active,20,"thousand metric tons per year","Combined capacities for positions 184185.",849
186,2579,2007,Bulgaria,"Copper: concentrate, Cu content",Chelopech,"Mine at Chelopech",Mine,"42° 42'  N","024° 04'  E",42.7,24.07,F,,"Chelopech Mining Ltd","Dundee Precious Metals Inc.",,Active,15,"thousand metric tons per year","Combined capacities for positions 186187.",849
187,2580,2007,Bulgaria,"Copper: concentrate, Cu content",Chelopech,"Plant at Chelopech",Plant,"42° 42'  N","024° 04'  E",42.7,24.07,F,,"Chelopech Mining Ltd","Dundee Precious Metals Inc.",,Active,15,"thousand metric tons per year","Combined capacities for positions 186187.",849
188,2581,2007,Bulgaria,"Copper: concentrate, Cu content","Malko Turnovo","Mine at Malko Turnovo",Mine,"41° 59'  N","027° 32'  E",41.98,27.53,A,,Bradtze,,,Active,2,"thousand metric tons per year","Combined capacities for positions 188189.",849
189,2582,2007,Bulgaria,"Copper: concentrate, Cu content","Malko Turnovo","Plant at Malko Turnovo",Plant,"41° 59'  N","027° 32'  E",41.98,27.53,A,,Bradtze,,,Active,2,"thousand metric tons per year","Combined capacities for positions 188189.",849
190,2583,2007,Bulgaria,"Copper: concentrate, Cu content","Srednogorie, Sofia District","Mine at Srednogorie",Mine,"42° 22'  N","024° 20'  E",42.36,24.34,F,,"Tsar Asen",,,Active,2,"thousand metric tons per year","Combined capacities for positions 190191.",849
191,2584,2007,Bulgaria,"Copper: concentrate, Cu content","Srednogorie, Sofia District","Plant at Srednogorie",Plant,"42° 22'  N","024° 20'  E",42.36,24.34,F,,"Tsar Asen",,,Active,2,"thousand metric tons per year","Combined capacities for positions 190191.",849
192,2585,2007,Bulgaria,"Copper: concentrate, Cu content","Burgas, near the Black Sea","Mine at Burgas",Mine,"42° 26'  N","027° 23'  E",42.44,27.38,F,,Rosen,,,Active,1,"thousand metric tons per year",,849
193,2586,2007,Bulgaria,"Copper: concentrate, Cu content","Burgas, near the Black Sea","Mine at Burgas",Mine,"42° 26'  N","027° 23'  E",42.44,27.38,F,,"Burgaskii Mines Ltd., Zidorovo",,,Active,0.5,"thousand metric tons per year",,849
194,2587,2007,Bulgaria,"Copper: metal",Pirdop,"Mine at Pirdop",Mine,"42° 45'  N","024° 02'  E",42.75,24.03,F,,"Cumerio Med SA (Pirdop)",,,Active,150,"thousand metric tons per year","Combined capacities for positions 194195.",849
195,2588,2007,Bulgaria,"Copper: metal",Pirdop,"Plant at Pirdop",Plant,"42° 43'  N","024° 10'  E",42.72,24.17,F,,"Cumerio Med SA (Pirdop)",,,Active,150,"thousand metric tons per year","Combined capacities for positions 194195.",849
196,2589,2007,Bulgaria,"Copper: metal, refined",Pirdop,"Mine at Pirdop",Mine,"42° 45'  N","024° 02'  E",42.75,24.03,F,,"Cumerio Med SA (Pirdop)",,,Active,30,"thousand metric tons per year","Combined capacities for positions 196197.",849
197,2590,2007,Bulgaria,"Copper: metal, refined",Pirdop,"Plant at Pirdop",Plant,"42° 43'  N","024° 10'  E",42.72,24.17,F,,"Cumerio Med SA (Pirdop)",,,Active,30,"thousand metric tons per year","Combined capacities for positions 196197.",849
335,2728,2007,Finland,"Copper: metal",Harjavalta,"Smelter at Harjavalta",Plant,"61° 19'  N","022° 08'  E",61.32,22.13,F,,"Outokumpu Oyj","Government, 40%","Private investors, 12.3%",Active,160,"thousand metric tons per year",,849
336,2729,2007,Finland,"Copper: metal",Pori,"Refinery at Pori",Plant,"61° 36'  N","021° 31'  E",61.6,21.51,F,,"Outokumpu Oyj","Government, 40%","Private investors, 12.3%",Active,125,"thousand metric tons per year",,849
337,2730,2007,Finland,"Copper: ore",Pyhasalmi,"Mine at Pyhasalmi",Mine,"63° 40'  N","026° 02'  E",63.67,26.03,F,U,"Inmet Mining Corp.","Inmet Mining Corp. 100%",,Active,10,"thousand metric tons per year","Combined capacities for positions 337338.",849
338,2731,2007,Finland,"Copper: ore",Saattopora,"Mine at Saattopora",Mine,"67° 47'  N","024° 25'  E",67.79,24.41,F,U,"Inmet Mining Corp.","Inmet Mining Corp. 100%",,Active,10,"thousand metric tons per year","Combined capacities for positions 337338.",849
423,2816,2006,France,"Copper: metal",Palais-sur-Vienne,"Electrolytic plant at Palais-sur-Vienne",Plant,"45° 51'  N","001° 18'  E",45.85,1.3,F,,"Compagnie Générale d'Électrolyse du Palais",,,Active,45,"thousand metric tons per year",,849
424,2817,2006,France,"Copper: metal","Poissy, Yvelines","Smelter at Poissy, Yvelines",Plant,"48° 56'  N","002° 03'  E",48.94,2.05,F,,"Société Française d'Affinage du Cuivre",,,Active,11,"thousand metric tons per year",,849
598,2991,2006,Germany,"Copper: cathodes",Hamburg,"Primary smelter and refinery and secondary plant at Hamburg",Plant,"53° 31'  N","010° 02'  E",53.52,10.04,F,,"Norddeutsche Affinerie AG","L. Possehl & Co. GmbH, 10 %","Other institutional investors, 45%; and private investors, 45%",Active,560,"thousand metric tons per year",,849
599,2992,2006,Germany,"Copper: cathodes",Lünen,"Secondary plant and refinery at Lünen",Plant,"51° 37'  N","007° 31'  E",51.61,7.51,F,,"Hüttenwerke Kayser AG","Norddeutsche Affinerie AG, 100%",,Active,185,"thousand metric tons per year",,849
845,3238,2007,Italy,"Copper: refined","Porto Marghera","Refinery at Porto Marghera",Plant,"45° 27'  N","012° 13'  E",45.45,12.22,F,,"KME Group S.p.A.",,,Active,60,"thousand metric tons per year",,849
846,3239,2007,Italy,"Copper: refined, secondary","Fornaci di Barga","Refinery at Fornaci di Barga",Plant,"44° 03'  N","010° 28'  E",44.05,10.47,F,,"Europametalli - LMI S.p.A.",,,Active,24,"thousand metric tons per year",,849
847,3240,2007,Italy,"Copper: refined, secondary","Pieve Vergonte","Refinery at Pieve Vergonte",Plant,"46° 01'  N","008° 16'  E",46.01,8.27,F,,"Sitindustrie S.p.A.",,,Active,22,"thousand metric tons per year",,849
930,3323,2007,Macedonia,Copper,"Bucim, near Radovis","Mine and mill at Bucim, near Radovis",Mine,"41° 40'  N","022° 21'  E",41.66,22.35,F,,"Solway Management",,,Active,4100,"thousand metric tons per year",,849
1015,3408,2007,Norway,"Copper: ore",Kristiansand,"Smelter at Kristiansand",Plant,"58° 08'  N","007° 58'  E",58.13,7.97,F,,"Nikkelverk A/S","Falconbridge Nickel Ltd., 100%",,Active,40,"thousand metric tons per year",,849
1016,3409,2007,Norway,"Copper: ore",Narvik,"Mine at Narvik",Mine,"68° 26'  N","017° 26'  E",68.44,17.44,A,U,"Nikkel og Olivin A/S","Outokumpu Oyj, 100%",,Active,1,"thousand metric tons per year",,849
1148,3541,2007,Poland,"Copper: concentrate, gross weight (25.2% -25.9% Cu)","Lubin-Glogow District","Rudna beneficiation plant",Plant,"53° 13'  N","017° 01'  E",53.22,17.02,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,700,"thousand metric tons per year",,849
1149,3542,2007,Poland,"Copper: concentrate, gross weight (25.2% -25.9% Cu)","Lubin-Glogow District","Lubin beneficiation plant",Plant,"53° 52'  N","014° 26'  E",53.87,14.43,A,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,465,"thousand metric tons per year",,849
1150,3543,2007,Poland,"Copper: concentrate, gross weight (25.2% -25.9% Cu)","Lubin-Glogow District","Polkowice beneficiation plant",Plant,"51° 29'  N","016° 04'  E",51.48,16.07,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,450,"thousand metric tons per year",,849
1151,3544,2007,Poland,"Copper: metal, refined",Glogow,"Refinery at Glogow I",Plant,"51° 40'  N","016° 07'  E",51.66,16.11,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,480,"thousand metric tons per year","Combined capacities for positions 11511153.",849
1152,3545,2007,Poland,"Copper: metal, refined",Glogow,"Refinery at Glogow II",Plant,"51° 40'  N","016° 07'  E",51.66,16.11,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,480,"thousand metric tons per year","Combined capacities for positions 11511153.",849
1153,3546,2007,Poland,"Copper: metal, refined",Legnica,"Refinery at Legnica",Plant,"51° 11'  N","016° 07'  E",51.18,16.12,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,480,"thousand metric tons per year","Combined capacities for positions 11511153.",849
1154,3547,2007,Poland,"Copper: ore","Lubin-Glogow District","Rudna Mine",Mine,"53° 13'  N","017° 01'  E",53.22,17.02,A,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,11000,"thousand metric tons per year",,849
1155,3548,2007,Poland,"Copper: ore","Lubin-Glogow District","Polkowice- Sieroszowice Mine",Mine,"51° 29'  N","016° 04'  E",51.48,16.07,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,9200,"thousand metric tons per year",,849
1156,3549,2007,Poland,"Copper: ore","Lubin-Glogow District","Lubin Mine",Mine,"53° 52'  N","014° 26'  E",53.87,14.43,F,,"Kombinat Gorniczo Hutniczy Miedzi (KGHM) Polska Miedz S.A. [KGHM, S.A.]",,,Active,7000,"thousand metric tons per year",,849
1242,3635,2007,Portugal,"Copper: concentrate","Near Castro Verde","Nerves Corvo Mine near Castro Verde",Mine,"37° 34'  N","008° 02'  W",37.57,-7.97,F,,"Lundin Mining Corp. (LMC)",,,Active,100,"thousand metric tons per year",,849
1243,3636,2007,Portugal,"Copper: concentrate","Near Castro Verde","Aljustrel Mine",Mine,"37° 52'  N","009° 50'  W",37.87,-8.16,F,,"Lundin Mining Corp. (LMC)",,,Active,20,"thousand metric tons per year",,849
1276,3669,2007,Romania,"Copper: concentrate","Baia Mare, northwestern area near the Ukrainian border","Mine at Baia Mare",Mine,"47° 38'  N","023° 28'  E",47.64,23.47,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1277,3670,2007,Romania,"Copper: concentrate","Baia Sprie, northwestern area near the Ukrainian border","Mine at Baia Sprie",Mine,"47° 39'  N","023° 37'  E",47.65,23.62,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1278,3671,2007,Romania,"Copper: concentrate","Near Bucium, in Carpathian Mountains","Borsa Balan Mine",Mine,"46° 19'  N","023° 10'  E",46.31,23.17,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1279,3672,2007,Romania,"Copper: concentrate","Cavnic, northwestern area near the Ukrainian border","Cavnic Mine",Mine,"47° 37'  N","023° 48'  E",47.62,23.8,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1280,3673,2007,Romania,"Copper: concentrate","Near Bucium, in Carpathian Mountains","Lesul Ursului Mine",Mine,"46° 18'  N","023° 07'  E",46.3,23.12,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1281,3674,2007,Romania,"Copper: concentrate","Near Bucium, in Carpathian Mountains","Noud Mine",Mine,"46° 18'  N","023° 07'  E",46.3,23.12,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1282,3675,2007,Romania,"Copper: concentrate","Near Bucium, in Carpathian Mountains","Rosia Montana Mine",Mine,"46° 18'  N","023° 07'  E",46.3,23.12,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1283,3676,2007,Romania,"Copper: concentrate","Near Bucium, in Carpathian Mountains","Rosia Poieni Mine",Mine,"46° 18'  N","023° 07'  E",46.3,23.12,F,,"Compania Nationala REMIN S.A. and Compania Nationala Minvest",,,Active,180,"thousand metric tons per year","Combined capacities for positions 12761283.",849
1284,3677,2007,Romania,"Copper: metal","Baia Mare in the northwestern area, near the Ukrainian border","Outokumpu flash smelter and electrolytic refinery",Plant,"47° 38'  N","023° 32'  E",47.64,23.54,F,,"Cuprom S.A. Baia Mare","Cuprom S.A.",,Active,40,"thousand metric tons per year",,849
1343,3736,2008,Serbia,"Copper: metal",Bor,"Electrolytic refinery at Bor",Plant,"44° 04'  N","022° 07'  E",44.07,22.11,F,,"Rudarsko Topionicki Bazen Bor (RTB Bor)",,,Active,0,"thousand metric tons",,849
